Word,Raw Confidence,Flower Power,Matches,Frequency,Category
sir,1.0,1.0,12,1,Top French
don,1.0,1.0,12,8,Top French
have,1.0,1.0,12,25,Top French
surprise,1.0,1.0,12,2,Top French
one,1.0,1.0,12,8,Top French
came,1.0,1.0,12,1,Top French
the,1.0,1.0,12,65,Top French
about,1.0,1.0,12,4,Top French
time,1.0,1.0,12,14,Top French
round,1.0,1.0,12,1,Top French
kaboom,1.0,1.0,12,2,Top English
you,1.0,1.0,12,87,Top English
sir,1.0,1.0,12,1,Top English
indeed,1.0,1.0,12,1,Top English
drunken,1.0,1.0,12,1,Top English
wretch,1.0,1.0,12,2,Top English
this,1.0,1.0,12,29,Top English
scout,1.0,1.0,12,3,Top English
rainbows,1.0,1.0,12,1,Top English
make,1.0,1.0,12,2,Top English
